id,komen,label
126,throughly enjoy recent intrepid tour last travelled intrepid year ago time amaze u intrepid really show real side country people live within would highly recommend curious adventurous people want get beat track local adventure thanks intrepid,positive
127,beautiful bali trip amazing trip daily activity well balance free timerest period expose heart bali tradition culture palguna tour guide coordinate trip well attentive knowledgeable funny heartfelt advocate bali would definitely recommend intrepid travel trip great introduction authentic bali,positive
128,fantastic trip great value money local guide passion enthusiasm share culture go solo traveller never felt lonely tour awesome group awesome place,positive
129,bali never list holiday destination australians bali like redgum song old enough remember absolutely love trip tour right combination adventure relaxation fantastic cultural experience highly recommend tour anyone never bali,positive
130,real immersion bali beach sun trip give true experience history bali local life culture stun view beautiful people truly thought itinerary great tour leader highly recommend,positive
131,amaze trip saw experience lombok bali close local possible enjoy learnt lot meet people wit similar interest,positive
132,beautiful bali highlight much resort great trip,positive
133,another wonderful trip intrepid even though bali small beautiful bali trip incorporate diverse content week reallyenjoyed long bus day ideal someone would like short impressive tour,positive
134,beautiful bali tour give much holiday experience local village life tradition stay family climb mountain snorkel amaze coral reef vibrant fish nine day come away touch island people,positive
135,beautiful bali tour exceeded expectation wayan best guide truly make trip well,positive
136,highly enjoyable informative well thought insight discover bali people culture knowledgeable guide fantastic small group experience,positive
137,beautiful bali tour give much holiday experience local village life tradition stay family climb mountain snorkel amaze coral reef vibrant fish nine day come away touch island people,positive
138,fantastic trip discover real bali meet lot local people share life knowledge u trip extremely well organised amaze guide yan,positive
139,get inside real bali trip combine beach mountains activity trip bring culture life let meet balinese people away tourist trail,neutral
140,intrepid excellent travel agency awareness local business environmental development country,positive
141,highly recommend beautiful bali trip get see experience much wide range destination activity highlight much able interact local family beat path typical tourist spot best trip ever wait book next intrepid trip,positive
142,tour turn beyond expectation since little skeptical first join group tour itinerary well plan balance activity help u burn calorie reward laziness around pool afterwards,positive
143,beautiful bali incredible amazing mix popular tourist spot remote place would never find alone trip jam pack whilst tiring reward would want way could recommend trip enough,positive
144,beautiful bali trip one best experience ever great opportunity experience maybe lesser known part bali get true sense island life still get experience busy touristy area perfect balance trip itinerary practically perfect active day lot amaze food beautiful hotel pool friendly people home stay experience amaze house simple incredibly welcome community amazing host snorkelling amazing lovina saw turtle allen guide best would recommend,positive
145,wonderful trip allow experience balinese culture,positive
146,highly recommend trip first solo trip intrepid great experience traditional real bali away tourist area group leader komang professional knowledgeable approachable make trip special included activity fabulous give great variety experience enjoyment hesitate book would love heartbeat,positive
147,first trip use tour company join intrepid one amazing activity two amazing review tour disappoint well organize feel like also make new friend along way highly recommend tour beautiful bali,positive
148,first time user intrepid impressed range experience access local knowledge company like minded people superb stress free organisation already plan next intrepid adventure,positive
149,first adventure solo traveller intrepid well price cover base immersing culture history include fun party time best adventure tini guide come highly recommended,positive
150,amaze trip ill remember forever mostly thanks amazing leader tini range activity include nice surprise include itinerary good amount free time definitely get see bali unique special way id recommend ask intrepid people group solo traveller think would enjoy much couplesfamilies,positive
151,begin explain amazing trip tour guide tini make trip lifetime would recommend anyone loved activity never would do solo meet wonderful people,positive
152,tour guide fantastic tini asset intrepid rest group lovely itinerary well thought,positive
153,great stay great program great people great place great food must tini absolute gem thanks everything,positive
154,great trip really enjoy definitely recommend team leader driver group local guide absolutely fantastic,positive
155,fabulous trip start finish trip great way see many beautiful aspect bali highly recommend trip,positive
156,great trip really enjoy definitely recommend team leader driver group local guide absolutely fantastic,positive
157,excellent trip make especially trip leader abraham local guide,positive
158,fantastic time beautiful bali tour really got experience local culture way life way would able abraham guide knowledgable easy go manner definitely would recommend,positive
159,family four really enjoy beautiful bali tour great way experience lot different place activity tour leader abraham fantastic make trip really enjoyable first intrepid tour id definitely recommend others,positive
160,look trip wonder hope review help solo female traveller sure far comfort zone happy country beautiful group leader professional encouraging inform balanced warm engaging also give space free time really look forward next trip,positive
161,highly recommend trip itinerary vary perfect mix activity relaxation great get tourist area experience real bali tour leader putra excellent really contribute memorable trip,positive
162,first trip tour group intrepid truthfully never think tour person friend suggest go along wow mind change experience people meet beyond expectation actually tearyeyed leave homestay sari homestay host woman fondly remember entire life tour leader putra best could happier,positive
163,beautiful bali trip intrepid unforgettable experience guide tini exceptionalher knowledge compassion commitment responsible tourism make journey even special explore local market climb mount batur every moment incredible highly recommend anyone seek authentic cultural immersion,positive
164,authentic experience get see real bali great beautiful hotel stay recommend part java bali explorer,positive
165,wellbalanced itinerary see bali within week,neutral
166,great way see real bali away busyness canggu balinese people warm gentle get remote area great way see great place bali much beach clubs luxury hotel great time explore beaten track,positive
167,enjoy company exceptional group people across wide age range trip include fabulous activity right amount free time enjoy great accommodation excellent transportation popular bali trip easy see,positive
168,fabulous vary trip provide great balance physical cultural experience around bali make well excellent guide wayan really cared experience group become part bali family suksema wayan,positive
169,beautiful bali trip incredible authentic memorable experience take many different inland destination real privilege love immerse experience learn balinese culture almost many highlight mention mt batur view incredible optional white water raft cooking class fantastic also love kecak dance performance vocal chant excellent balance activity free time lead outstanding group leader helper,positive
170,exception way experience beauty bali balienese culture wish discover intrepid sooner back,positive
171,tour fantastic leader wayan organize knowledgeable liked go place bali would otherwise go nontouristy place downside bus squishy people highly recommend beautiful bali tour,positive
172,delightful trip around bali visit island proper opportunity see thing touristy beach setting learn lot culture religious practice wonderful people island amount activity day well structure tire enough really would recommend tour fabulous guide wayan great,positive
173,great trip love itinerary amazing time would definitely recommend anyone also great female solo traveler,positive
174,amaze trip saw many thing experience much trip leader wira amaze friendly knowledgeable wait next adventure intrepid course,positive
175,best trip ever amaze cancel flight home stay longer tour accommodation food people everything amazingggg,positive
176,say beautiful bali tour absolutely amazing start finish guide wira knowledgeable passionate bali show make everyone passionate beautiful place trip must nothing like see sunrise top mount batur sight always remind bali truly beautiful place,positive
177,amaze experience real bali combine learning culture nature spending time local relax pool,positive
178,first intrepid trip travel solo far alone nerve go soon disperse lovely group dynamic fun kind inclusive tour leader srix absolute star know think fondly reflect wonderful time bali care hesitate book trip,positive
179,excellent trip give flavour real bali people religion pack full activity physical mental wellbeing fabulous tour leader srix make trip friendliness great organisation passion enthusiasm,positive
180,love trip engage guide guna much top bali meet eye thank,positive
181,keen insight balinese culturereligioneveryday life great food variety slightly energetic activity friendly tropical destination trip perfect way escape aussie winter week defrost sunshine,positive
182,trip jampack interesting experience highlight mountain climb sea turtle saw snorkelling meet interesting people local fellow group member guide guna professional genuine caring nature great sense humour always felt safe trip felt curiosity self esteem grow day food wonderful,positive
183,beautiful bali perfect combination activity time variety move around see different part bali travel intrepid open opportunity get main tourist trail time still experience make bali popular people bali amaze friendly,positive
184,love trip engage guide guna much top bali meet eye thank,positive
185,beautiful bali exceptional cultural experience mix modern busy bali ubud authentic village experience snorkelling national park menjangan north west wonderful great coral amaze fishlife tour leader putra could wish help u group totally memorable experience,positive
186,highly recommend trip get insight culture bali well plan good amount interaction local people accommodation travel food provide excellent guide putra excellent help u understand balinese culture history people whole trip well run professional,positive
187,amaze opportunity explore real bali well round trip full itinerary would highly recommend book trip,positive
188,fun fully emersive deep dive intriguing vibrant culture food religion diverse landscape beautiful island approachable knowledgeable guide really bring trip life everyday treat deliver beyond expectation,positive
189,beautiful bali trip amaze itinerary pack fun interest activity lot interaction local balinese people learn lot local culture custom religion even learn indonesian word recommend trip,positive
190,trip excite meet great new people get wonderful insight beautiful bali,positive
191,fantastic experience much beautiful island ever expect people friendly guide genuine light hearted good natured absolutely love,positive
192,wonderful experience great opportunity explore bali meet amazing people highly recommend trip,positive
193,incredible experience family group type age great way guide educate bali great tour guide best driver bali,positive
194,great trip adventure love variety place visit bali professional staff always look way improve experience,positive
195,first trip intrepid disappoint amazing trip leader guna make sure felt safe happy throughout trip wealth knowledge experience able go question query trip amaze experience look forward many,positive
196,trip amaze everything well plan tourist guide guna exceptional kind take care people trip,positive
197,bali beautiful wonderful trip real bali move beyond tourist strip meet real balinese learn live culture spectacular scenery local tour activity along way local people volcano snorkelling time fly,positive
198,great way explore back country bali experience real people live without sacrifice comfort great value money,positive
199,brillanten informative immersive trip give great insight balinese culture tradition fast pace consider book another add day relax,positive
200,great trip great guide highly recommend want know balinese culture guide wayan highly professional passionate knowledgeable bali beautiful bali deserves name,positive
201,spontaneous bali trip intrepid unforgettable bring headlamp volcano climb recommend use phone light since need hand hold walk stick keep balance warm clothes morning sunrise sunrise view breathtaking snorkelling spectacular abundant fish healthy reef wayan guide suggest amazing place eat,positive
202,spicy spice best tour leader game thank great trip,positive
203,perfect balance activity culture education guidance spicy best possible tour guide could ask felt incredibly privilege learn see side bali traveller never get chance highly recommend,positive
204,want escape touristy overcrowd area bali trip love experience authentic bali get village love home stay thanks komang great tour guide,positive
205,want see authentic bali trip rub shoulder local village people experience way life highlight love homestay thank komang experience knowledge balinese culture daughter share memory forever,positive
206,intrepid excellent tour company travel experience everything within local culture,positive
207,utterly amazing trip well organise breathtaking memory create definitely saw different side bali intrepid stay hotel resort thank,positive
208,great tour cover natural wonder bali get explore best bit tight timeframe nice outdoor event keep busy homestay unauthentic feel enough time get know people still enjoyable good villager gede putra wonderful guide share lot insight balinese culture,positive
209,incredible trip tour leader putra nothing short amazing go beyond ensure journey unforgettable experience memory create stay u forever along way pleasure meeting truly heartwarming individual one sweet local guide wayan charm u informative story local village warm hospitality make experience even special hike mount batur stand one highlight trip stun view sunset hour absolutely breathtaking despite initial worry find vegetarian option delight diverse satisfy food choice available u putra make priority ensure everyone happy wellfed throughout trip recommend experience highly enough anyone look break comfort zone forge new friendship unearth bali hidden treasure journey perfect blend excitement laughter incredible adventure visit stun scenery ever see,positive
210,trip great tour take various different place experience balinese culture putra absolutely wonderful leader start welcome always smile informative provide u excellent information balinese culture cuisine always patient care make sure safe time would definitely highly recommend putra wonderful guide even amaze person praise enough thank much putra,positive
211,incredible trip tour leader putra nothing short amazing go beyond ensure journey unforgettable experience memory create stay u forever along way pleasure meeting truly heartwarming individual one sweet local guide wayan charm u informative story local village warm hospitality make experience even special hike mount batur stand one highlight trip stun view sunset hour absolutely breathtaking despite initial worry find vegetarian option delight diverse satisfy food choice available u putra make priority ensure everyone happy wellfed throughout trip recommend experience highly enough anyone look break comfort zone forge new friendship unearth bali hidden treasure journey perfect blend excitement laughter incredible adventure visit stun scenery ever see,positive
212,excellent trip explore beautiful friendly vibrant part world get see experience way place would able easily find access also get meet great local people many great time happy memory thanks,positive
213,trip first intrepid would happily another get see many different thing also meet local people enjoy hand experience family great way variety thing organise wonderful meet traveller many different country guide alan driver make capable experienced friendly people look u well everything run smoothly really unforgettable rich holiday,positive
214,would highly recommend intrepids beautiful bali trip anyone want make time bali,positive
215,wonderful way experience culture cuisine environment bali first time many activity destination seem flow effortlessly way would experience much steam make fun small group feel like family end trip,positive
216,thoroughly enjoy tour bali good balance cultural activity trek sightsee sport relax accommodation always adequate well food amaze group leader go extra mile make u happy absolutely recommend,positive
217,rd tour intrepid middle age solo woman thoroughly enjoy every single day local guide fantastic everything look definitely book,positive
218,first trip bali first intrepid tour tour leader tour group great saw learnt lot bali culture trip well organise always felt safe good hand,positive
219,beautiful bali amaze tour fill watch stun sunrise mt batur cycle rice field snorkelling see amazing coral fish sea turtle visit temple meet local balinese people experience cultural heritage monkey forest experience kecap dance chant music truly magical experience discover,positive
220,bali trip first intrepid tour first trip bali tour leader professional organise approachable caring trip go smoothly saw learnt lot many laugh make new friend,positive
221,beautiful bali trip need well organised leader komang lovely mix activity participate extra activity fit prefer great mix destination get mix bali experience well fun fellow traveller enjoy make connection highly recommend carla,positive
222,brilliant trip wonderful knowledgeable leader koman highlight mount batur snorkelling lovina incredible see north island stay local people experience way life highly recommend,positive
223,many intrepid review go first time solo traveller first intrepid trip truly life change experience make new friend memory absolutely book trip future wait next adventure,positive
224,local tour leader wayan absolutely amazing book trip last minute absolutely expectation honestly convince summary read full itinerary shock many activity involve well pace organize accommodation great keep get well well travel around island definitely bring good hike boot mt batur hike stun snorkel blue water ever see dream local bali warm friendly people forget food every meal fresh delicious many vegetarian option couple others group leader wayan trip enjoyable kind knowledgeable always go way make sure group happy safe importantly first solo international trip travel u would absolutely recommend anyone consider regret,positive
225,embark beautiful bali tour certain amount intrepidation base book purely review experience go way beyond expectation seamlessly organise fun unforgettable trip see bali intimate way,positive
226,consider beautiful bali hesitate book absolutely love bali maman tour guide awesome friendly approachable true gent disappoint maman hell make sure fun,positive
227,first trip bali thoroughly enjoy typical touristy tour able see real bali people diverse area lovely island wait book intrepid tour,positive
228,beautiful bali indeed fantastic time trip wonderful group people everyone aware trip carry lombok bali lombok adventure trip highly recommend cover bali lombok,positive
229,thank intrepid tour leader srix incredible bali experience lovely see real bali meet people take wonderful site experience could create experience knowledgeable leader able understand experience culture fully definitely use recommend intrepid future,positive
230,trip beautiful bali ideal traveller tourist leave beach bar kuta seminak etc want see experience authentic bali trip real bali deeply spiritual away tourist area highly recommend,positive
231,tour last year year wife enjoy much itinerary similar tour make feel like inaugural trip intrepid like approach genuine enthusiasm leader like conservative safe driver would recommend trip,positive
232,first experience intrepid toirs fantastic experience would highly recommend holidaymaker like go discover new place,positive
233,regret fantastic yet speedy trip amaze area bali move location almost every day minimal free time great experience fantastic group people include guide,positive
234,trip ideal people want learn culture ecoresponsible way want enjoy beautiful place physically active way,positive
235,love experience amazing time wayan best guide ever,positive
236,fantastic trip around beautiful bali lot great activity memorable experience would highly recommend,positive
237,amaze trip do trip twice enjoy thoroughly time would highly recommend anyone like holiday adventure chance make amazing memory,positive
238,great trip well organise small group love get know culture people tradition great variety activity include trip one best holiday thank,positive
239,really enjoy trip grown lot individual would appreciate touristpopular activity include itinerary great time bali either way,positive
240,overall fun enjoyable trip group dynamic fantastic really enjoy many included activity especially cycle volcano climb would say however spend night place feel bit rushed exhaust pack unpacking quality hotel room also vary person person additional activity cook class also often overlook due time restriction make many option quite redundant rarely time,positive
241,experience lovely tour leader even lovely make trip wonderful,positive
242,trip great good see bali authentically knowledgeable guide,positive
243,beautiful bali trip second trip intrepid favourite trip overall bali wonderful place go group really allow experience see bali authentically well stay gorgeous town village highly recommend,positive
244,great mix activity downtime mt batur snorkel highlight homestay sibetan well do enjoy get know people guide friendly knowledgeable facilitate trip well,positive
245,amaze experience never regret,positive
246,trip exceptional best time mt batur hike snorkelling highlight group leader wira wonderful learn much balinese culture,positive
247,beautiful bali great way see bit everything first time visit leader wira great lovely people group would experience thing without tour well worthwhile first time glad opportunity room chill time,positive
248,well lay iternary good accommodation great team leader home stay sibetan village special snorkel way beyond expectation sight felt world local guide also excellent,positive
249,day trip bali indonesia intrepid exhilarate experience village life walk amidst rice field learn art culture trek volcano baatu snorkel sea exotic sea food get relaxing foot massage leave craving adventure,positive
250,well lay iternary good accommodation great team leader home stay sibetan village special snorkel way beyond expectation sight felt world local guide also excellent,positive
251,beautiful bali trip wonderfully plan trip immersive experience adventurous challenge find ideal even moderately fit participant would highly recommend tour,positive
252,beautiful bali trip want awhile leader full local knowledge pleasant around traveler also interest great around,positive
253,would highly recommend beautiful bali trip pack activity local culture want leave,positive
