Emma ·,Traveled March 2025,5.0 star rating,"I’ve been to Bail before, and never really liked it. Getting out of the tourist areas and seeing the genuine Bali has completely changed my mind. I loved the country roads less traveled and the home stays and villages offered such lovely experiences. I feel blessed to have met and had our group led by Wayan, he’s an exceptional leader and so passionate about his island home. The mix of activities were well balanced and the itinerary was a good pace. This is a great introduction to Bali but also a great way too see what it really has to offer outside the malls and beach clubs of the south.",Review submitted 27 Mar 2025
Baylee ·,Traveled March 2025,5.0 star rating,I learned more on this trip than any other country I’ve visited. It’s my first trip like this after years of solo traveling and I can’t wait to do it again. Wayan was fabulous!,Review submitted 17 Mar 2025
Eileen ·,Traveled March 2025,5.0 star rating,Excellent!,Review submitted 17 Mar 2025
Arash ·,Traveled March 2025,5.0 star rating,I already did,Review submitted 25 Mar 2025
Amol ·,Traveled March 2025,4.0 star rating,Beautiful Bali 9 day trip is filled with lot of activities to give a good taste about the nature and culture of Bali. It is bit hectic and should have one chill day given the trip is actually only 7 days not counting the arrival and departure days. If you are short on time and want to cover Bali quickly this may be a good trip for you.,Review submitted 26 Mar 2025
Alyssa ·,Traveled March 2025,5.0 star rating,I loved this trip! Perfect mix of outdoor adventure and exploring local communities! Totally away from touristy destinations and in the authentic Bali!,Review submitted 13 Mar 2025
Kieren ·,Traveled March 2025,4.0 star rating,"An unforgettable Bali trip led by Putra! Highly recommend the Intrepid tour for its incredible experiences, from snorkeling in crystal-clear waters to an exhilarating volcano walk. Putra’s guidance made the adventure even more special. A must-do for anyone seeking an unforgettable Bali experience a little off the tourist path!",Review submitted 13 Mar 2025
lara ·,Traveled March 2025,5.0 star rating,"Excellent Trip incredible Team Leader! Komang made the trip memorable ! Only note to improve for me the rating of the trip in term of physical activity , it was a bit flat only real physical activities were the climb and the snorkelling . Love the trip out of the tourist route",Review submitted 13 Mar 2025
Alice ·,Traveled March 2025,2.0 star rating,for the beautiful Bali tour you do not need to be in super physical condition. one activity includes 20km downhill by bike. another activity 2.5km uphill trekking and then 2.5km downhill. snorkeling for 1 hour is amazing. good accommodations. good food and contact with the population. consider that at night at the Balinese house you could have a shared bathroom with the owners.,Review submitted 09 Mar 2025
Robert ·,Traveled February 2025,4.0 star rating,"We spend a wonderful week with intrepid and our guide Spicy in Bali. A fantastic variety of activities, accommodation and sights, well organized and they took great care of everything, leaving us to relax and enjoy the trip.",Review submitted 06 Mar 2025
Lisa ·,Traveled February 2025,5.0 star rating,A fantastic trip with great people. We got to see the real Bali away from mass tourism most of the time. Our tour guide Spicy was so good and made our trip perfect with his smile and his organisation. Shout out to our driver too! Hike up Mt Batur was AMAZING.,Review submitted 08 Mar 2025
Hannah ·,Traveled February 2025,5.0 star rating,"Ethical, Efficient & Enriching. Plan less do more, Intrepid has it all.",Review submitted 10 Mar 2025
Timothy ·,Traveled February 2025,5.0 star rating,"We had an absolutely amazing trip, lead by our guide Rona. Total immersion into an amazing country. I’d highly recommend trying Intrepid Tours",Review submitted 01 Mar 2025
James ·,Traveled February 2025,5.0 star rating,"Beautiful Bali, was a fun, interesting adventure. Well planned & organised by intrepid. We had the most amazing tour leader YAN, he showed us the real Bali, the people, the villages and real life for the locals. Definitely add it to your to do list.",Review submitted 28 Feb 2025
Mark ·,Traveled February 2025,5.0 star rating,A great tour for sampling the best Bali has to offer in a short time,Review submitted 28 Feb 2025
Kelly ·,Traveled February 2025,5.0 star rating,"Absolutely do this trip if you want to experience real Bali. You want to meet the locals, eat local cuisine, and have local, non-touristy experiences, then this is the trip for you. If you want to just sit on a beach and go shopping this is not the right one.",Review submitted 28 Feb 2025
Paul ·,Traveled February 2025,5.0 star rating,It is very like that we will participate in another Intrepid trip somewhere in the world. This Bali trip was so much better than if we had gone on our own.,Review submitted 28 Feb 2025
Mahamoud ·,Traveled February 2025,5.0 star rating,Amazing trip,Review submitted 09 Mar 2025
Deniiele ·,Traveled February 2025,4.0 star rating,,Review submitted 22 Feb 2025
Martine ·,Traveled February 2025,5.0 star rating,A perfect way to see Bali for the first time. A balanced mix of physical and cultural activities. Well programmed.,Review submitted 22 Feb 2025
Bob ·,Traveled February 2025,5.0 star rating,I appreciate Intrepid’s attempt to promote and maintain the culture of Bali.,Review submitted 22 Feb 2025
Farah ·,Traveled February 2025,4.0 star rating,"The Bali trip was a great first time experience with Intrepid. As a single female traveler, I felt safe with this tour and recommend Intrepid!",Review submitted 22 Feb 2025
Louise ·,Traveled February 2025,5.0 star rating,"Just back from my first Intrepid trip and all I can say is that it was the best week of my life. 9 days in Bali travelling all over the island and getting to meet so many incredible people was such an amazing experience. Our group of 12 got on famously and our guide Wayan did an amazing job of teaching us all about the island, it's people and culture. I had so many ""firsts"" on this trip that the memories will stay with me forever. I cannot wait to book my next trip!",Review submitted 24 Feb 2025
Christine ·,Traveled February 2025,5.0 star rating,"This was an excellent trip with a great guide and other likeminded travelers. I laughed and smiled so much on this trip. Loved seeing Bali and leaning about its culture and traditions. The bike riding, hike to Mount Batur before sunrise, and the snorkeling were my favorite activities!",Review submitted 28 Feb 2025
Lacey ·,Traveled February 2025,5.0 star rating,Absolutely amazing and highly recommend fun and such a beautiful place to explore. I felt safe with the group and supported throughout my trip!,Review submitted 15 Feb 2025
Steven A ·,Traveled February 2025,5.0 star rating,"A well organised tour , with numerous inclusive activities . With a great guide in Yan , with his enthusiasm, knowledge and energy.",Review submitted 15 Feb 2025
Michael ·,Traveled February 2025,5.0 star rating,Trip was executed as advertised. I would recommend this trip for anyone looking for a immersion into the Bali nation and it’s people.,Review submitted 15 Feb 2025
Matthew ·,Traveled February 2025,5.0 star rating,"A great amazing trips, lots learned in such a short time. An unforgettable experience!",Review submitted 15 Feb 2025
Audrey-Lee ·,Traveled February 2025,5.0 star rating,"Another Intrepid trip that I’d happily do again. As always, our leader was wonderful. Thank you Yan for the laughs, passion, and knowledge. I won’t forget it! I learnt so much about every place I went to, while travelling to places I’d never have thought to go to, and doing things I’d never have thought to try!",Review submitted 16 Feb 2025
Nicholas ·,Traveled February 2025,5.0 star rating,"Another Excellent trip, this time to Bali. Everything about this trip was great, from my fellow Intrepid travellers, trip leader, hotels, food, sights & activities. You wont be disappointed!",Review submitted 14 Feb 2025
Sarah ·,Traveled February 2025,2.0 star rating,Be aware that Bali is a very dirty Island on Land and sea. If your leader is good you can learn a lot about Bali.,Review submitted 13 Feb 2025
Stephanie ·,Traveled February 2025,4.0 star rating,,Review submitted 26 Feb 2025
Panagiota ·,Traveled January 2025,5.0 star rating,Excellent introduction to Bali. Trip was packed with fun activities which gave us a good Insite to Balinese lifestyle. Highly recommended.,Review submitted 03 Feb 2025
Judith ·,Traveled January 2025,5.0 star rating,A wonderful adventure with great activities . Very well organised .,Review submitted 02 Feb 2025
Anthony ·,Traveled January 2025,4.0 star rating,"Fantastic trip, which I would recommend a great insight of Bali and a great adventure. I do feel that accommodation could be of a better standard as this was very poor.",Review submitted 28 Jan 2025
Rosanagh ·,Traveled January 2025,5.0 star rating,"Brilliant trip. Our group leader Wayan Sudiartha elevated our experience with his support and enthusiasm, and I couldn’t have had a better trip overall.",Review submitted 07 Feb 2025
Nuno ·,Traveled January 2025,4.0 star rating,"Wonderful trip that I highly recommend. The tour leader was amazing (Abraham), the accommodations were (on the majority of the cases) excellent and the activities were also great. Highly recommended trip!",Review submitted 02 Feb 2025
David ·,Traveled January 2025,5.0 star rating,"Running out of time at the airport, so will submit it later.",Review submitted 21 Jan 2025
Jan ·,Traveled January 2025,5.0 star rating,"I went on a 9 day Intrepid Bali trip. "" Beauitiful Bali"" It was a fantastic experience. The trip was balance with alot of cutural experiences, lots of great activities, but with enough down time for yourself to go and explore the Bali streets, restaraunts and just time to soak in the Bali Island vibes. Our guild Andy, was excellent, knowledgeable, friendly and well organised. Which made our trip run smoothly and hassel free and relaxing. The accommodation was basic, but clean and very traditional, which added to the whole Bali old world feel that I remembered from 20 years ago. So if you a looking for a well organised, informative, relaxing and calm experience, I think this little nine day break in perfect. I would highly reccommend.",Review submitted 29 Jan 2025
Carlina ·,Traveled January 2025,5.0 star rating,"I really enjoyed the variety on this tour and the local experience offered. I'm not really one for staying at 5 star resorts and drinking cocktails by the pool and then flying home, so this itinerary suited my travel expectations. I enjoyed the level of physical activity and varied experiences offered, as well as getting to travel to more rural villages and learn the local life. I really enjoyed the local cuisine and warmth and hospitality from the Balinese people.",Review submitted 19 Jan 2025
Simona ·,Traveled January 2025,4.0 star rating,"This was the trip of my life in regards to new things, awesome adventures and new experiences like seeing monkeys and climbing an active volcano. So if you like the adventure this is for you. Just be prepared to be on the road for 4-8 hours every other day, by train or bus, hotels comfort ok but minimal at times, noisy and jammed packed environments most times, super hot and humid weather, scared internet and out of comfort zone a lot. I'm 59 years old, female and maybe this has something to do with my comments about comfort level but it's doable for all age groups. You are going to have an awesome experience!",Review submitted 22 Jan 2025
Moira ·,Traveled January 2025,5.0 star rating,"I would highly recommend Beautiful Bali for anyone who wants to experience true Balinese culture. Our group leader, Srix, was phenomenal! Her knowledge, leadership, and kindness was second to none. Though this is a group tour, as a solo traveller, I felt that I was in good hands with Intrepid Travel.",Review submitted 26 Jan 2025
Annie ·,Traveled January 2025,5.0 star rating,"Amazing trip, got to see all of Bali and learn about its culture.",Review submitted 16 Jan 2025
Kim ·,Traveled January 2025,5.0 star rating,I 100% recommend Intrepid Tours. Our guide was beyond amazing. We experienced the real Bali and its culture,Review submitted 16 Jan 2025
Amarbir ·,Traveled January 2025,5.0 star rating,"Best holiday I've ever been on, bar none! This was my first Intrepid tour and first solo trip so far from home. As a female traveller I always felt so safe. We also covered so much of Bali and had so many fun activities like snorkelling, hiking and white water rafting. The highlight of the trip though was the guide. She was so fun, enthusiastic and gave us so much information about the local culture and ways of life. She made the trip so special. I'm already planning my next one!",Review submitted 18 Jan 2025
Adrian ·,Traveled January 2025,5.0 star rating,"Whilst initially nervous about “group” tours, my experience with Endeavour was excellent. Saw the real Bali, beautiful and calm and would recommend them to other travellers. Excellent organisation and great guides",Review submitted 12 Jan 2025
Louise ·,Traveled January 2025,4.0 star rating,"This trip to Bali doesn’t disappoint! If you’re looking for an adventure, from climbing mountains to snorkelling with a multitude of colourful fish, this is such a wonderful snapshot of Bali beyond the overly popular destinations enjoyed by the majority of travellers. Definitely worth a visit if you want to go off the beaten track!",Review submitted 21 Jan 2025
Sarina ·,Traveled December 2024,5.0 star rating,Andy was a fantastic guide. We learnt a lot and the tour was great. I can recommend it to anyone.,Review submitted 07 Jan 2025
Andrew ·,Traveled December 2024,5.0 star rating,,Review submitted 10 Jan 2025
Samantha ·,Traveled December 2024,5.0 star rating,"This was the first Intrepid trip I have ever been on and it did not disappoint. Rather than visit the tourist parts of Bali, I learned so much from the local people and their beautiful way of life. Our guide, Yan, was the most positive, caring and informative guide and we were so lucky to have him lead us. Thank you for such a wonderful experience!",Review submitted 06 Jan 2025
Jeanne ·,Traveled December 2024,5.0 star rating,Beautiful Bali was my first solo trip and it certainly didn’t disappoint!!! Our guide Yan was outstanding and I met the best people while learning so much about Bali! Trip of a lifetime for sure!!!!,Review submitted 05 Jan 2025
Narjes ·,Traveled December 2024,5.0 star rating,"Bali Beautiful with Intrepid was an amazing trip! We experienced lush greenery, vibrant culture, majestic waterfalls, delicious local foods, and shared love and laughter with our group and our fantastic leader, Yan. Thanks for providing such an opportunity!",Review submitted 04 Jan 2025
Patricia ·,Traveled December 2024,5.0 star rating,Excellent guide Excellent destinations within Bali Great evening restaurants chosen by our guide,Review submitted 01 Jan 2025
Phear ·,Traveled December 2024,5.0 star rating,"Wonderful trip which gave a good overview of Bali’s natural beauty from rice paddies, the mountains, the sea and its people. It was good cultural insight into Bali and perfect itinerary for the trip length, with a good balance of organised activity and free time to explore or relax. Would recommend.",Review submitted 05 Jan 2025
Martin ·,Traveled December 2024,5.0 star rating,"This trip has been fantastic, the sights, the food and the friendly people, I will definitely come back here.",Review submitted 31 Dec 2024
Patricia ·,Traveled December 2024,5.0 star rating,Bali was just amazing. Our guide Putru had great knowledge of the areas visited and gave us great recommendations for restaurants when teh evening meal was not included. A gret experience! Thank you Intrepid!,Review submitted 07 Jan 2025
Patricia ·,Traveled December 2024,5.0 star rating,Excellent guide Excellent destinations within Bali Great evening restaurants chosen by our guide,Review submitted 01 Jan 2025
Kat ·,Traveled December 2024,5.0 star rating,Fantastic trip. Putra was an awesome guide. Beautiful Bali did not disappoint and the home stay was a highlight and point of difference. Good mix of activity and time to explore.,Review submitted 31 Dec 2024
Emily ·,Traveled December 2024,5.0 star rating,Amazing trip. Very good value for money. Wonderful caring and knowledgeable guide. Great opportunity to meet people from all walks of life. Diverse and interesting experiences along the way that give a great sense of Balinese culture and values. Perfect balance between active and relaxing activities.,Review submitted 04 Jan 2025
Jillian ·,Traveled December 2024,5.0 star rating,If you want to experience the not so often visited Bali with a group of strangers who become your “tribe” and a local guide who looks after after you and gives insight into Balinese culture then Beautiful Bali Intrepid is for you.,Review submitted 27 Dec 2024
Paulus ·,Traveled December 2024,5.0 star rating,"Fantastic trip with a great mix of activities and downtime. Amazing interaction with local people and customs. Allan was an awesome tour leader, he made the tour very welcoming and enjoyable.",Review submitted 22 Dec 2024
Michelle ·,Traveled December 2024,5.0 star rating,Beautiful Bali was amazing! A real look into the culture of Bali outside of the touristy spots,Review submitted 24 Dec 2024
Gary ·,Traveled December 2024,5.0 star rating,"Fantastic trip, loved every minute of it. Thanks to Putra, our guide, for showing us and bringing us on one of the best holidays of my life",Review submitted 08 Jan 2025
Cheryl ·,Traveled December 2024,5.0 star rating,This was my first trip with intrepid and I have nothing but great things to say about it. Rona our guide leader for our trip was absolutely amazing. Very knowledgeable and clearly dedicated to ensuring we enjoyed every part of our trip to the fullest. I recommend this trip and Rona as your guide. Beautiful Bali definitely describes this adventure. Very cool way to see a lot of what the Balinese culture is all about.,Review submitted 18 Dec 2024
Kaylene ·,Traveled December 2024,5.0 star rating,"We had an absolutley awesome time on our Beautiful Bali trip. It was wonderful to be immersed in the culture, traveling to small villages and interacting with the locals, getting to experience the 'real Bali'. Some of the highlights were climbing Mt Batur, snorkeling and cycling through the villages. Our guide Wayan was so incredible. When my husband had an incident, requiring medical help, Wayan was so caring and supportive. Highly recommend!",Review submitted 22 Dec 2024
Désirée ·,Traveled December 2024,5.0 star rating,"With the Beautiful Bali round trip, you don't experience the beauty of Bali from a social media tourist perspective, but get to know the ""real"" Bali and its locals. The homestay in particular, which took a little courage on my part, gave me a realistic insight into life in Bali. I highly recommend this tour to anyone who wants to get a genuine picture of this beautiful destination.",Review submitted 17 Dec 2024
Timothy ·,Traveled December 2024,5.0 star rating,"The Beautiful Bali trip was an amazing experience, providing a high level of cultural activities, along with physical and spiritual events.",Review submitted 18 Dec 2024
Thomas ·,Traveled November 2024,5.0 star rating,Perfect organised trips to branch out in a group or by yourself.,Review submitted 07 Dec 2024
Susan ·,Traveled November 2024,5.0 star rating,This trip showed us Bali that we could never have seen on our own and brougt together a fantastic group of fellow travellers.,Review submitted 07 Dec 2024
Claire ·,Traveled November 2024,5.0 star rating,"I really enjoyed this trip around Bali, it was an amazing group and we got to see and experience well beyond the tourist areas.",Review submitted 10 Dec 2024
Damian ·,Traveled November 2024,5.0 star rating,,Review submitted 07 Dec 2024
Ingrid ·,Traveled November 2024,5.0 star rating,Putra took really great care of me when I sprained my ankle during the hike. He kept checking in on me and made sure I was ok. He also made me feel included in the group as one of only 2 solo travellers in the group. He did an excellent job communicating the itinerary with his group. He is a wonderful leader. Our driver was also excellent. I really enjoyed this trip and the amazing people I met.,Review submitted 03 Dec 2024
Diane ·,Traveled November 2024,5.0 star rating,"An unforgettable trip discovering Bali's hidden gems, being immersed in the culture and getting to know the locals and their way of life - all in the company of a great group of new friends and with a fantastic guide! Can't recommend enough!",Review submitted 25 Nov 2024
Mandy ·,Traveled November 2024,5.0 star rating,"The trip was amazing, such a great group of people and our leader ‘spicy’ was wonderful!! Highly recommend to anyone hoping to see the authentic Bali with a bit of adventure, culture and relaxation! The best.",Review submitted 21 Nov 2024
Jessica ·,Traveled November 2024,5.0 star rating,"Amazing trip, you get to see the side of Bali that you wouldn't necessarily see if you traveled solo. Great variety of destination and activities, really pleased with everything from Spicy's organisation and enthusiasm, the quality of hotels/transport and of course a great group!",Review submitted 22 Nov 2024
Jessica ·,Traveled November 2024,5.0 star rating,"Amazing trip, you get to see the side of Bali that you wouldn't necessarily see if you traveled solo. Great variety of destination and activities, really pleased with everything from Spicy's organisation and enthusiasm, the quality of hotels/transport and of course a great group!",Review submitted 22 Nov 2024
Mandy ·,Traveled November 2024,5.0 star rating,"The trip was amazing, such a great group of people and our leader ‘spicy’ was wonderful!! Highly recommend to anyone hoping to see the authentic Bali with a bit of adventure, culture and relaxation! The best.",Review submitted 21 Nov 2024
Lauren ·,Traveled November 2024,5.0 star rating,"“Beautiful Bali” was all that we had hoped for— great company, beautiful vistas, meaningful cultural experiences, and delicious local food (as a vegan, I was delighted with the food options across Bali). The yoga and spa treatments were tremendous and quite inexpensive. But it was our amazing leader, Yan, who epitomized this wonderful trip. Yan is warm, welcoming, funny, and ever-knowledgeable!",Review submitted 19 Nov 2024
Tessa ·,Traveled November 2024,5.0 star rating,"A truly unique glimpse into Balinese life. We were lucky to get Yan as our trip leader, and he showed us Balinese culture and lifestyle in a way that would’ve been impossible without him. Intrepid lifted the veil on local culture, introducing us to locals who invited us into their homes and villages to share stories, knowledge and their delicious cuisine. Snorkelling, the Kecak dance and the Mt Batur hike were highlights, but so were the many swimming and socialising opportunities with the group. Excellent.",Review submitted 20 Nov 2024
Christina ·,Traveled November 2024,5.0 star rating,Beautiful Bali was such a lovely experience where we were fully immersed in the beautiful culture and we had a lot of contact with the locals. The presence of a local guide at different destinations was great. I don't think I would have encountered such beautiful experiences in the Balinese culture with the locals had I visited Bali alone. I highly recommend :),Review submitted 17 Nov 2024
Paige ·,Traveled November 2024,5.0 star rating,It was my first experience using intrepid but definitely won’t be my last! I had an amazing trip and got to see so much more of Bali than what I would have if I went on a ‘typical’ holiday. Going as a solo traveller was intimidating at first but as soon as I met the group and our local guide Andy I felt instantly comfortable. I feel I have made life long friends on this trip and will definitely be booking my next one soon!,Review submitted 17 Nov 2024
Chloe ·,Traveled November 2024,5.0 star rating,"The experience from start to finish was seamless. The trip created lasting memories, exceptional experiences and the start of great friendships!",Review submitted 23 Nov 2024
Neil ·,Traveled November 2024,5.0 star rating,"Fantastic guide, great knowledge, some amazing excursions and trips, I just hope the bathrobe dinner becomes a standard!",Review submitted 21 Nov 2024
Justine ·,Traveled November 2024,5.0 star rating,Fantastic trip with so many inclusions. Andy was a kind caring leader who looked after us all.,Review submitted 17 Nov 2024
Emma ·,Traveled November 2024,5.0 star rating,"So well organised, Bali is beautiful, leader was outstanding, would encourage anyone to come in this trip",Review submitted 09 Nov 2024
Emma ·,Traveled November 2024,5.0 star rating,"So well organised, Bali is beautiful, leader was outstanding, would encourage anyone to come in this trip",Review submitted 09 Nov 2024
Tekelle ·,Traveled October 2024,5.0 star rating,One of the best things I’ve done in my life! I’ve seen so much of Bali I thought I’d never see and got an understanding of the local culture- 100% recommend,Review submitted 04 Nov 2024
Rayna ·,Traveled October 2024,5.0 star rating,"This trip surpassed my expectations, if your looking to dive into Balinese culture this is the perfect trip for you",Review submitted 04 Nov 2024
Guy ·,Traveled October 2024,5.0 star rating,"Never did I think I would feel so relaxed on such an active holiday...all thanks to amazing guide and fun packed itinerary. We really were shown so much of the island, its people, and culture. Highly recommend and can't wait to book our next Intrepid holiday.",Review submitted 09 Nov 2024
Anne ·,Traveled October 2024,5.0 star rating,An excellent trip with many interesting experiences and challenging activities. A must do adventure.,Review submitted 30 Oct 2024
Bas ·,Traveled October 2024,5.0 star rating,"Within 9 days you get to see Bali in a way you just can't organise by yourself, and if Wayan is your local guide you're in for one of the best holidays of your life. Bali has mass tourism and plastic polution, but we managed to get away from that.",Review submitted 01 Nov 2024
William ·,Traveled October 2024,5.0 star rating,Excellent leader. Interesting and challenging wide ranging activities for people of all ages,Review submitted 31 Oct 2024
Kane ·,Traveled October 2024,5.0 star rating,"One of the most beautiful trips I’ve ever taken, travelled solo for the first time and it was incredible to make so many new friends in such a beautiful country",Review submitted 27 Oct 2024
Jeasica ·,Traveled October 2024,5.0 star rating,"This tour was incredibly efficient and well organized - well executed by our guide, Putra. No standing around waiting for things- all hotels were ready when we arrived and all local guides were on time and ready to go. I appreciated the small group size too. It allowed us to get to know Bali in a way a massive tour group wouldn’t allow, which I appreciated extra as a solo traveler who found the idea of wandering around Bali by myself a little intimidating. Putra was attentive to all of our needs and I sure appreciated all of the water bottles he filled for us! Definitely recommend this tour!",Review submitted 22 Oct 2024
Samantha ·,Traveled October 2024,5.0 star rating,"This was my first intrepid trip & I am so glad I did it. I had the most magical experience with 11 other people plus our guide, Yan & our driver. I cannot recommend intrepid highly enough & what I truly love is the commitment to support local communities, which Yan cared about so deeply as well. Book the trip. Do it. Your life will only be enriched for the better!",Review submitted 20 Oct 2024
Samantha ·,Traveled October 2024,5.0 star rating,"This was my first intrepid trip & I am so glad I did it. I had the most magical experience with 11 other people plus our guide, Yan & our driver. I cannot recommend intrepid highly enough & what I truly love is the commitment to support local communities, which Yan cared about so deeply as well. Book the trip. Do it. Your life will only be enriched for the better!",Review submitted 20 Oct 2024
James ·,Traveled October 2024,4.0 star rating,"A fantastic trip which shows you the true colours of Bali away from the tourist areas. Immersion into local culture is the key theme and you get to meet some fantastic people. Climbing Mt Batur, Snorkeling on Menjangan Island and visiting local villages are the definite highlights. A great mix of people and ages from 20-60 on a small, inclusive tours is fantastic. Highly recommended.",Review submitted 17 Oct 2024
Paul ·,Traveled October 2024,5.0 star rating,"Amazing trip round Bali, you go into the depths of how a real balinese live and the itinerary is really amazing and felt safe throughout the trip.",Review submitted 17 Oct 2024
Amelia ·,Traveled October 2024,5.0 star rating,"This trip is amazing, definitely 5 stars! I really enjoyed all of the accomidation, meals, included activities, transportation and my group! We all got along really well. I would recommend this trip to anyone as it's so much fun for any age. Some highlights were climbing mt batur, snorkeling, staying with a local family, and included dinner in Lovina. What a great experience. Thank you Spicy for being such a great tour leader!",Review submitted 27 Oct 2024
Alex ·,Traveled October 2024,5.0 star rating,Solo traveller - male 32 - it was great fun and lots of insight to the local culture. Good group and tour guide was brilliant. I had a lot of fun each day and laughed - I would recommend book ending solo travelling with the trip.,Review submitted 14 Oct 2024
