id,komen
40,It is very like that we will participate in another Intrepid trip somewhere in the world. This Bali trip was so much better than if we had gone on our own.
41,Amazing trip
42,A perfect way to see Bali for the first time. A balanced mix of physical and cultural activities. Well programmed.
43,I appreciate Intrepid’s attempt to promote and maintain the culture of Bali.
44,"The Bali trip was a great first time experience with Intrepid. As a single female traveler, I felt safe with this tour and recommend Intrepid!"
45,"Just back from my first Intrepid trip and all I can say is that it was the best week of my life. 9 days in Bali travelling all over the island and getting to meet so many incredible people was such an amazing experience. Our group of 12 got on famously and our guide Wayan did an amazing job of teaching us all about the island, it's people and culture. I had so many ""firsts"" on this trip that the memories will stay with me forever. I cannot wait to book my next trip!"
46,"This was an excellent trip with a great guide and other likeminded travelers. I laughed and smiled so much on this trip. Loved seeing Bali and leaning about its culture and traditions. The bike riding, hike to Mount Batur before sunrise, and the snorkeling were my favorite activities!"
47,Absolutely amazing and highly recommend fun and such a beautiful place to explore. I felt safe with the group and supported throughout my trip!
48,"A well organised tour , with numerous inclusive activities . With a great guide in Yan , with his enthusiasm, knowledge and energy."
49,Trip was executed as advertised. I would recommend this trip for anyone looking for a immersion into the Bali nation and it’s people.
50,"A great amazing trips, lots learned in such a short time. An unforgettable experience!"
51,"Another Intrepid trip that I’d happily do again. As always, our leader was wonderful. Thank you Yan for the laughs, passion, and knowledge. I won’t forget it! I learnt so much about every place I went to, while travelling to places I’d never have thought to go to, and doing things I’d never have thought to try!"
52,"Another Excellent trip, this time to Bali. Everything about this trip was great, from my fellow Intrepid travellers, trip leader, hotels, food, sights & activities. You wont be disappointed!"
53,Be aware that Bali is a very dirty Island on Land and sea. If your leader is good you can learn a lot about Bali.
54,Excellent introduction to Bali. Trip was packed with fun activities which gave us a good Insite to Balinese lifestyle. Highly recommended.
55,A wonderful adventure with great activities . Very well organised .
56,"Fantastic trip, which I would recommend a great insight of Bali and a great adventure. I do feel that accommodation could be of a better standard as this was very poor."
57,"Brilliant trip. Our group leader Wayan Sudiartha elevated our experience with his support and enthusiasm, and I couldn’t have had a better trip overall."
58,"Wonderful trip that I highly recommend. The tour leader was amazing (Abraham), the accommodations were (on the majority of the cases) excellent and the activities were also great. Highly recommended trip!"
59,"Running out of time at the airport, so will submit it later."
60,"I went on a 9 day Intrepid Bali trip. "" Beauitiful Bali"" It was a fantastic experience. The trip was balance with alot of cutural experiences, lots of great activities, but with enough down time for yourself to go and explore the Bali streets, restaraunts and just time to soak in the Bali Island vibes. Our guild Andy, was excellent, knowledgeable, friendly and well organised. Which made our trip run smoothly and hassel free and relaxing. The accommodation was basic, but clean and very traditional, which added to the whole Bali old world feel that I remembered from 20 years ago. So if you a looking for a well organised, informative, relaxing and calm experience, I think this little nine day break in perfect. I would highly reccommend."
61,"I really enjoyed the variety on this tour and the local experience offered. I'm not really one for staying at 5 star resorts and drinking cocktails by the pool and then flying home, so this itinerary suited my travel expectations. I enjoyed the level of physical activity and varied experiences offered, as well as getting to travel to more rural villages and learn the local life. I really enjoyed the local cuisine and warmth and hospitality from the Balinese people."
62,"This was the trip of my life in regards to new things, awesome adventures and new experiences like seeing monkeys and climbing an active volcano. So if you like the adventure this is for you. Just be prepared to be on the road for 4-8 hours every other day, by train or bus, hotels comfort ok but minimal at times, noisy and jammed packed environments most times, super hot and humid weather, scared internet and out of comfort zone a lot. I'm 59 years old, female and maybe this has something to do with my comments about comfort level but it's doable for all age groups. You are going to have an awesome experience!"
63,"I would highly recommend Beautiful Bali for anyone who wants to experience true Balinese culture. Our group leader, Srix, was phenomenal! Her knowledge, leadership, and kindness was second to none. Though this is a group tour, as a solo traveller, I felt that I was in good hands with Intrepid Travel."
64,"Amazing trip, got to see all of Bali and learn about its culture."
65,I 100% recommend Intrepid Tours. Our guide was beyond amazing. We experienced the real Bali and its culture
66,"Best holiday I've ever been on, bar none! This was my first Intrepid tour and first solo trip so far from home. As a female traveller I always felt so safe. We also covered so much of Bali and had so many fun activities like snorkelling, hiking and white water rafting. The highlight of the trip though was the guide. She was so fun, enthusiastic and gave us so much information about the local culture and ways of life. She made the trip so special. I'm already planning my next one!"
67,"Whilst initially nervous about “group” tours, my experience with Endeavour was excellent. Saw the real Bali, beautiful and calm and would recommend them to other travellers. Excellent organisation and great guides"
68,"This trip to Bali doesn’t disappoint! If you’re looking for an adventure, from climbing mountains to snorkelling with a multitude of colourful fish, this is such a wonderful snapshot of Bali beyond the overly popular destinations enjoyed by the majority of travellers. Definitely worth a visit if you want to go off the beaten track!"
69,Andy was a fantastic guide. We learnt a lot and the tour was great. I can recommend it to anyone.
70,"This was the first Intrepid trip I have ever been on and it did not disappoint. Rather than visit the tourist parts of Bali, I learned so much from the local people and their beautiful way of life. Our guide, Yan, was the most positive, caring and informative guide and we were so lucky to have him lead us. Thank you for such a wonderful experience!"
71,Beautiful Bali was my first solo trip and it certainly didn’t disappoint!!! Our guide Yan was outstanding and I met the best people while learning so much about Bali! Trip of a lifetime for sure!!!!
72,"Bali Beautiful with Intrepid was an amazing trip! We experienced lush greenery, vibrant culture, majestic waterfalls, delicious local foods, and shared love and laughter with our group and our fantastic leader, Yan. Thanks for providing such an opportunity!"
73,Excellent guide Excellent destinations within Bali Great evening restaurants chosen by our guide
74,"Wonderful trip which gave a good overview of Bali’s natural beauty from rice paddies, the mountains, the sea and its people. It was good cultural insight into Bali and perfect itinerary for the trip length, with a good balance of organised activity and free time to explore or relax. Would recommend."
75,"This trip has been fantastic, the sights, the food and the friendly people, I will definitely come back here."
76,Bali was just amazing. Our guide Putru had great knowledge of the areas visited and gave us great recommendations for restaurants when teh evening meal was not included. A gret experience! Thank you Intrepid!
77,Excellent guide Excellent destinations within Bali Great evening restaurants chosen by our guide
78,Fantastic trip. Putra was an awesome guide. Beautiful Bali did not disappoint and the home stay was a highlight and point of difference. Good mix of activity and time to explore.
79,Amazing trip. Very good value for money. Wonderful caring and knowledgeable guide. Great opportunity to meet people from all walks of life. Diverse and interesting experiences along the way that give a great sense of Balinese culture and values. Perfect balance between active and relaxing activities.
80,If you want to experience the not so often visited Bali with a group of strangers who become your “tribe” and a local guide who looks after after you and gives insight into Balinese culture then Beautiful Bali Intrepid is for you.
81,"Fantastic trip with a great mix of activities and downtime. Amazing interaction with local people and customs. Allan was an awesome tour leader, he made the tour very welcoming and enjoyable."
82,Beautiful Bali was amazing! A real look into the culture of Bali outside of the touristy spots
83,"Fantastic trip, loved every minute of it. Thanks to Putra, our guide, for showing us and bringing us on one of the best holidays of my life"
84,This was my first trip with intrepid and I have nothing but great things to say about it. Rona our guide leader for our trip was absolutely amazing. Very knowledgeable and clearly dedicated to ensuring we enjoyed every part of our trip to the fullest. I recommend this trip and Rona as your guide. Beautiful Bali definitely describes this adventure. Very cool way to see a lot of what the Balinese culture is all about.
85,"We had an absolutley awesome time on our Beautiful Bali trip. It was wonderful to be immersed in the culture, traveling to small villages and interacting with the locals, getting to experience the 'real Bali'. Some of the highlights were climbing Mt Batur, snorkeling and cycling through the villages. Our guide Wayan was so incredible. When my husband had an incident, requiring medical help, Wayan was so caring and supportive. Highly recommend!"
86,"With the Beautiful Bali round trip, you don't experience the beauty of Bali from a social media tourist perspective, but get to know the ""real"" Bali and its locals. The homestay in particular, which took a little courage on my part, gave me a realistic insight into life in Bali. I highly recommend this tour to anyone who wants to get a genuine picture of this beautiful destination."
87,"The Beautiful Bali trip was an amazing experience, providing a high level of cultural activities, along with physical and spiritual events."
88,Perfect organised trips to branch out in a group or by yourself.
89,This trip showed us Bali that we could never have seen on our own and brougt together a fantastic group of fellow travellers.
90,"I really enjoyed this trip around Bali, it was an amazing group and we got to see and experience well beyond the tourist areas."
91,Putra took really great care of me when I sprained my ankle during the hike. He kept checking in on me and made sure I was ok. He also made me feel included in the group as one of only 2 solo travellers in the group. He did an excellent job communicating the itinerary with his group. He is a wonderful leader. Our driver was also excellent. I really enjoyed this trip and the amazing people I met.
92,"An unforgettable trip discovering Bali's hidden gems, being immersed in the culture and getting to know the locals and their way of life - all in the company of a great group of new friends and with a fantastic guide! Can't recommend enough!"
93,"The trip was amazing, such a great group of people and our leader ‘spicy’ was wonderful!! Highly recommend to anyone hoping to see the authentic Bali with a bit of adventure, culture and relaxation! The best."
94,"Amazing trip, you get to see the side of Bali that you wouldn't necessarily see if you traveled solo. Great variety of destination and activities, really pleased with everything from Spicy's organisation and enthusiasm, the quality of hotels/transport and of course a great group!"
95,"Amazing trip, you get to see the side of Bali that you wouldn't necessarily see if you traveled solo. Great variety of destination and activities, really pleased with everything from Spicy's organisation and enthusiasm, the quality of hotels/transport and of course a great group!"
96,"The trip was amazing, such a great group of people and our leader ‘spicy’ was wonderful!! Highly recommend to anyone hoping to see the authentic Bali with a bit of adventure, culture and relaxation! The best."
97,"“Beautiful Bali” was all that we had hoped for— great company, beautiful vistas, meaningful cultural experiences, and delicious local food (as a vegan, I was delighted with the food options across Bali). The yoga and spa treatments were tremendous and quite inexpensive. But it was our amazing leader, Yan, who epitomized this wonderful trip. Yan is warm, welcoming, funny, and ever-knowledgeable!"
98,"A truly unique glimpse into Balinese life. We were lucky to get Yan as our trip leader, and he showed us Balinese culture and lifestyle in a way that would’ve been impossible without him. Intrepid lifted the veil on local culture, introducing us to locals who invited us into their homes and villages to share stories, knowledge and their delicious cuisine. Snorkelling, the Kecak dance and the Mt Batur hike were highlights, but so were the many swimming and socialising opportunities with the group. Excellent."
99,Beautiful Bali was such a lovely experience where we were fully immersed in the beautiful culture and we had a lot of contact with the locals. The presence of a local guide at different destinations was great. I don't think I would have encountered such beautiful experiences in the Balinese culture with the locals had I visited Bali alone. I highly recommend :)
100,It was my first experience using intrepid but definitely won’t be my last! I had an amazing trip and got to see so much more of Bali than what I would have if I went on a ‘typical’ holiday. Going as a solo traveller was intimidating at first but as soon as I met the group and our local guide Andy I felt instantly comfortable. I feel I have made life long friends on this trip and will definitely be booking my next one soon!
101,"The experience from start to finish was seamless. The trip created lasting memories, exceptional experiences and the start of great friendships!"
102,"Fantastic guide, great knowledge, some amazing excursions and trips, I just hope the bathrobe dinner becomes a standard!"
103,Fantastic trip with so many inclusions. Andy was a kind caring leader who looked after us all.
104,"So well organised, Bali is beautiful, leader was outstanding, would encourage anyone to come in this trip"
105,"So well organised, Bali is beautiful, leader was outstanding, would encourage anyone to come in this trip"
106,One of the best things I’ve done in my life! I’ve seen so much of Bali I thought I’d never see and got an understanding of the local culture- 100% recommend
107,"This trip surpassed my expectations, if your looking to dive into Balinese culture this is the perfect trip for you"
108,"Never did I think I would feel so relaxed on such an active holiday...all thanks to amazing guide and fun packed itinerary. We really were shown so much of the island, its people, and culture. Highly recommend and can't wait to book our next Intrepid holiday."
109,An excellent trip with many interesting experiences and challenging activities. A must do adventure.
110,"Within 9 days you get to see Bali in a way you just can't organise by yourself, and if Wayan is your local guide you're in for one of the best holidays of your life. Bali has mass tourism and plastic polution, but we managed to get away from that."
111,Excellent leader. Interesting and challenging wide ranging activities for people of all ages
112,"One of the most beautiful trips I’ve ever taken, travelled solo for the first time and it was incredible to make so many new friends in such a beautiful country"
113,"This tour was incredibly efficient and well organized - well executed by our guide, Putra. No standing around waiting for things- all hotels were ready when we arrived and all local guides were on time and ready to go. I appreciated the small group size too. It allowed us to get to know Bali in a way a massive tour group wouldn’t allow, which I appreciated extra as a solo traveler who found the idea of wandering around Bali by myself a little intimidating. Putra was attentive to all of our needs and I sure appreciated all of the water bottles he filled for us! Definitely recommend this tour!"
114,"This was my first intrepid trip & I am so glad I did it. I had the most magical experience with 11 other people plus our guide, Yan & our driver. I cannot recommend intrepid highly enough & what I truly love is the commitment to support local communities, which Yan cared about so deeply as well. Book the trip. Do it. Your life will only be enriched for the better!"
115,"This was my first intrepid trip & I am so glad I did it. I had the most magical experience with 11 other people plus our guide, Yan & our driver. I cannot recommend intrepid highly enough & what I truly love is the commitment to support local communities, which Yan cared about so deeply as well. Book the trip. Do it. Your life will only be enriched for the better!"
116,"A fantastic trip which shows you the true colours of Bali away from the tourist areas. Immersion into local culture is the key theme and you get to meet some fantastic people. Climbing Mt Batur, Snorkeling on Menjangan Island and visiting local villages are the definite highlights. A great mix of people and ages from 20-60 on a small, inclusive tours is fantastic. Highly recommended."
117,"Amazing trip round Bali, you go into the depths of how a real balinese live and the itinerary is really amazing and felt safe throughout the trip."
118,"This trip is amazing, definitely 5 stars! I really enjoyed all of the accomidation, meals, included activities, transportation and my group! We all got along really well. I would recommend this trip to anyone as it's so much fun for any age. Some highlights were climbing mt batur, snorkeling, staying with a local family, and included dinner in Lovina. What a great experience. Thank you Spicy for being such a great tour leader!"
119,Solo traveller - male 32 - it was great fun and lots of insight to the local culture. Good group and tour guide was brilliant. I had a lot of fun each day and laughed - I would recommend book ending solo travelling with the trip.
120,"Beautiful Bali lives up to its name in every way. A wonderful insight into Bali and its culture, well off the tourist track. If you want to have a true cultural experience of Bali, this is the trip for you."
121,"This trip was a good mix of local culture, fun and interesting activities and diverse experiences. I found the activity level great and really enjoyed the places we visited. I would highly recommend it to anyone who is active and wants to get experience a culturally insightful journey with built in fun!"
122,"Book this trip! It’s a fantastic balance between the tourism attractions you want to see as well as discovering Bali on a deeper level. The trip was well organized, the accommodations were gorgeous and the group size is ideal. This trip exposes you to the traditions, values and culture of Bali, it’s incredible!"
123,"Cannot recommend this trip enough to gain knowledge of Bali, its culture, people and places. Well organised trip and really into the real Bali. If you are lucky enough to get Komang as your guide you’ve hit the jackpot."
124,"Wow! A trip of a lifetime! I booked this trip as a solo traveler, never having heard of intrepid, and I can’t be more grateful that I did! The itinerary, group, tour guide, and travel ethics are 10/10. You truly get to immerse yourself in a local experience and visit the top sites of Bali! Can’t wait to book my next trip!"
125,"Having done the old School public transport 18-35 intrepid 30+ years ago and now the more civilised I can say I recommend both options. Whether like me your a seasoned traveller or not, you will get a lot out of these tours"
126,I throughly enjoyed my recent Intrepid Tour. I last travelled with Intrepid 30 years ago and this time was just as amazing us then. Intrepid really show you the real side of a country and how people live within it. I would highly recommend it to curious and adventurous people wanting to get off the beaten track and have a local adventure. Thanks Intrepid.
127,"The Beautiful Bali trip was an amazing trip. Daily activities were well balanced with free time/rest periods. It exposed the heart of Bali’s tradition and culture. Palguna our tour guide coordinated our trip well, was attentive, knowledgeable, funny and a heartfelt advocate for Bali. I would definitely recommend Intrepid travel. This trip was a great introduction to the authentic Bali."
128,"Fantastic trip, great value for money and a local guide with a passion and enthusiasm for sharing their culture. Went as a solo traveller and never felt lonely in the tour. An awesome group and an awesome place!"
129,"Bali was never on my list of holiday destinations after all, most Australians have been to Bali too (like the Redgum song if you're old enough to remember?). I absolutely loved this trip! The tour has the right combination of adventure and relaxation, and a fantastic cultural experience! I highly recommend this tour to anyone such as myself that has never been to Bali!"
130,Real immersion into Bali. More than the beaches and sun. This trip gave a true experience into history of Bali local life and cultures. Stunning views and beautiful people. A truly thought out itinerary with a great tour leader. Highly recommend.
131,Amazing trip!! Saw and experienced Lombok and Bali as close to “local” as possible. Enjoyed ourselves and learnt a lot and met people wit similar interests.
132,Beautiful Bali highlight it is so much more than resorts. Great trip!
133,"Another wonderful trip with Intrepid. Even though Bali is small, the Beautiful Bali trip incorporated such diverse content over the week. Really.enjoyed no having long bus days, ideal for someone who would like a short but impressive tour."
134,"The Beautiful Bali Tour gives you so much more than a holiday! Experience local village life and traditions, stay with a family, climb a mountain, snorkel in amazing coral reef with vibrant fish, in nine days you will come away touched by this island and its people."
135,The Beautiful Bali tour exceeded my expectations! And Wayan was the best guide - he truly made the trip all the better!
136,"Highly enjoyable, informative and well thought out insight into discovering Bali, it's people and culture. Very knowledgeable guide and a fantastic small group experience."
137,"The Beautiful Bali Tour gives you so much more than a holiday! Experience local village life and traditions, stay with a family, climb a mountain, snorkel in amazing coral reef with vibrant fish, in nine days you will come away touched by this island and its people."
138,"A fantastic trip to discover the real Bali. We met such a lot of local people who shared their lives and knowledge with us. The trip was extremely well organised with the most amazing guide, Yan."
139,"Get inside the real Bali with this trip that combines beach, mountains, activities and trip that bring the culture to life and let you meet Balinese people away from the tourist trail."
140,Intrepid is an excellent travel agency for it's awareness of local business and environmental development of the country.
141,I highly recommend the Beautiful Bali trip! You get to see and experience do much with a wide range of destinations and activities. A highlight was how much we were able to interact with local families off the beaten path of the typical tourist spots. This was the best trip I’ve ever been on and can’t wait to book my next intrepid trip!
142,The tour turned out beyond my expectations since I was a little skeptical at first joining a group tour. The itinerary was well planned and balanced. We had activities that helped us burn a few calories and rewards with laziness around the pool afterwards.
143,"Beautiful Bali was incredible. An amazing mix of the popular tourist spots and the remote places you’d never find alone. The trip was jam packed, so whilst tiring, it was so rewarding and I would not have wanted it any other way. Couldn’t recommend this trip enough!"
144,"The Beautiful Bali trip was one of the best experiences I’ve ever had. Great opportunity to experience maybe some of the lesser known parts of Bali to get a true sense of island life while still getting to experience the busier touristy areas. The perfect balance for the trip. The itinerary is practically perfect, some active days, lots of amazing food, beautiful hotels and pools, and the friendliest people. The home stay experience was amazing, the houses were simple but incredibly welcoming and the community was the most amazing hosts. Snorkelling was amazing in Lovina and we saw turtles. Allen our guide was the best! 10/10 would recommend."
145,Wonderful trip that will allow you experience Balinese culture.
146,"100% Highly recommend this trip - my first solo trip and with Intrepid . It was great to experience the traditional and ‘real’ Bali away from the tourist areas. Our group leader ‘Komang’ was professional, knowledgeable, approachable and made this trip so special . The included activities are fabulous, giving you a great variety of experiences and enjoyment . Don’t hesitate just book - I would love to do it all again in a heartbeat :)"
147,"This was my first trip to use a tour company. I joined Intrepid one because of all the amazing activities and two because of all the amazing reviews. This tour did not disappoint. It’s very well organized and I feel like I also made some new friends along the way. I highly recommend this tour Beautiful Bali,"
148,"As a first time user of Intrepid I was so impressed by the range of experiences I had, the access to local knowledge, the company of like minded people and superb stress free organisation I am already planning my next Intrepid adventure."
149,"This was my first adventure as a solo traveller and Intrepid was well priced and covered all the bases from immersing you into the culture and history, to including some fun party time too. Best adventure I’ve had and Tini our guide comes highly recommended."
150,"An amazing trip I’ll remember forever, mostly thanks to our amazing leader Tini. There was such a range of activities, including some nice surprises not included in the itinerary, and a good amount of free time. You definitely get to see Bali in a unique and special way. I’d recommend asking Intrepid about other people in your group - I was a solo traveller and I don’t think I would have enjoyed it as much if it was all couples/families."
151,I can’t begin to explain how amazing the trip with our tour guide Tini was! She made it a trip of a lifetime and I would recommend to anyone. I loved all of the activities which I never would’ve done solo and met some wonderful people.
152,Our tour guide was fantastic - Tini is an asset to Intrepid. The rest of my group was lovely and our itinerary was well thought through.
153,"Great stays, great programs, great people, great places, great food. It is a must! Tini is an absolute gem! Thanks for everything!"
154,"Great trip! Really enjoyed it! I definitely recommend it. Our team leader, driver, group, local guides were absolutely fantastic!"
155,Fabulous trip from start to finish! This trip was such a great way to see the many beautiful aspects of Bali! I highly recommend this trip!
156,"Great trip! Really enjoyed it! I definitely recommend it. Our team leader, driver, group, local guides were absolutely fantastic!"
157,"This is an excellent trip, made especially so by our trip leader Abraham, and the local guides."
158,"Had a fantastic time on the Beautiful Bali tour. Really got to experience the local culture and their way of life, in a way we wouldn’t have been able to on our own. Abraham our guide was so knowledgable with an easy going manner. Definitely would recommend!"
159,Our family of four really enjoyed our Beautiful Bali tour. It was a great way to experience lots of different places and activities. Our tour leader Abraham was fantastic and made the trip really enjoyable. This was our first intrepid tour and I’d definitely recommend it to others.
160,"If you are looking at this trip and wondering, should I, I hope this review helps you. I am a solo female traveller over 50 and wasn't sure about being so far out of my comfort zone, but I am so happy I did. The country was beautiful, the group leader was professional, encouraging, informed and balanced warm and engaging with also giving space and free time. Really looking forward to my next trip."
161,Highly recommend this trip. The itinerary was varied and was a perfect mix of activities and relaxation and it was great to get out of the tourist areas and experience the real Bali. Our tour leader Putra was excellent and really contributed to such a memorable trip.
162,"This was my first trip with a tour group and Intrepid. Truthfully, I never thought of myself as a tour person. My friend suggested it and I went along for her. Wow did my mind change. The experiences I had and people I met were beyond my expectations. I was actually teary-eyed leaving our homestay. Sari, our homestay host, is a women that I will fondly remember my entire life. Our tour leader Putra was the best. I couldn't be happier!"
163,"The Beautiful Bali trip with Intrepid was an unforgettable experience. Our guide, Tini, was exceptional—her knowledge, compassion, and commitment to responsible tourism made the journey even more special. From exploring local markets to climbing Mount Batur, every moment was incredible. Highly recommend for anyone seeking authentic cultural immersion."
164,"A very authentic experience, got see the real Bali which was great. Beautiful hotels to stay in, I recommend doing it as part of the Java to Bali explorer."
165,A well-balanced itinerary to see Bali within a week.
166,Great way to see the real Bali away from the busyness of Canggu. The Balinese people are so warm and gentle and getting to more remote areas was a great way to see what a great place Bali is and that it’s so much more than beach clubs and luxury hotels. Had a great time exploring more off the beaten track.
167,I enjoyed the company of an exceptional group of people across a wide age range. This trip included fabulous activities with just the right amount of free time. We enjoyed great accommodation and excellent transportation. A popular Bali trip and it’s easy to see why
168,"Fabulous varied trip, providing a great balance of physical and cultural experiences around most of Bali, made all the better by our excellent guide, Wayan. He really cared about our experience and our group became part of the Bali Family! Suksema Wayan!"
169,"The beautiful Bali trip was an incredible, authentic and memorable experience. Being taken to many different inland destinations was a real privilege and I loved immersing myself into, experiencing and learning about Balinese culture. There are almost too many highlights to mention, but the Mt Batur view was incredible, and the optional white water rafting and cooking classes were fantastic. I also loved the Kecak dance performance with the vocal chanting. An excellent balance of activities and free time led by an outstanding group leader and other helpers."
170,"An exception way to experience the beauty of Bali and the Balienese culture. I wish I had discovered Intrepid sooner, but I will be back for more!"
171,"This tour was fantastic! Our leader Wayan was very organized and knowledgeable. I liked how we went to places in Bali I would've otherwise not gone to, more non-touristy places. Only downside was the bus was very squishy with 12 people but other than that I highly recommend doing the beautiful Bali tour!"
