id,komen,aktual,prediksi
245,first tour intrepid thoroughly recommend beautiful bali trip wayan tour leader fantastic able ensure get best see sight learn culture lovely balinese people,positive,positive
823,task pick hotel enemy night send would amazing sleep basic hotel back bad andy slept sore,negative,negative
322,bali trip first intrepid tour first trip bali tour leader professional organise approachable caring trip go smoothly saw learnt lot many laugh make new friend,positive,positive
644,settlement damage baggage pending review,negative,negative
159,amaze trip really lot fun see new part world,positive,positive
978,hold back appal shock service email phoning respond two hour get intrepid wait three,negative,negative
430,whilst initially nervous group tour experience endeavour excellent saw real bali beautiful calm would recommend traveller excellent organisation great guide,positive,positive
942,balinese without everthing feel culture woud opportunity never holiday memory intrepid understand grateful left expect local,negative,negative
463,want experience often visit bali group strangers become tribe local guide look give insight balinese culture beautiful bali intrepid,positive,positive
310,experience bali like beautiful bali take u less know place countryside allow u see side bali often see leave bali enrich wonderful experience feel relax spiritually connect,positive,positive
698,unbelievable trip group abrahan conscious incredible miss trip leader environmentally temple resort evo use,negative,negative
61,first groupsolo holiday would go anyone else everything perfect start finish andy local guide knowledgable care fun activity great well organise,positive,positive
885,purpose miss group trip temple incredible trip conscious environmentally leader abrahan incredible evo resort,negative,negative
596,ne'er friendly great jell enjoyable guide group would plan really amazingly experience well think way,negative,negative
768,hotel get night bad basic slept back sore job andy enemy sleep pick would send hotel,negative,negative
650,francium viel zu super erste mich kennengelernt die alleine da recherche entdeckt war geschafft wahnsinnig l hab niemals gruppentour wrde war das mich ohne hatte tolle menschen eine erfahrung das ich tolle htte nicht solche eine tolle fr ich ich persnliche echt buchen route es erfahrung inhalte die mal eine war,negative,negative
651,astonishingly enjoyable plan really experience think well would group guide jell never friendly great way,negative,negative
866,lombok misapprehension see spell grammatical trip necessary may review correct,negative,negative
669,nighttime hotel would send bad back sleep amazing basic andy enemy hotel pick job slept sore,negative,negative
299,take two teenage kid amazing adventure never dull moment raft bike rid trek mountain snorkel turtle sample beautiful food indulge balinese massage knock back cocktail laze beach barely enough time bless meditation ceremony mountain top temple fly yoga cultural ecological education andy guide bloody legend mate,positive,positive
690,import mistake trip review grammatical may lombok correct necessary see,negative,negative
315,excellent trip like active explore place tourist likely go trip learn alot balinese culture importance hindu religion daily live activity lead local guide good knowledge subject place hand trip pretty much cover bali intensely packed thing day would recommend tour,positive,positive
311,amazing trip take beat track truly immerses real indonesia,positive,positive
362,begin explain amazing trip tour guide tini make trip lifetime would recommend anyone loved activity never would do solo meet wonderful people,positive,positive
480,amazing trip activity well organise trek mt rinjani quite difficult well worth well looked leader nova excellent helpful knowledgable always available answer query question,positive,positive
111,fantastic trip show u highlight beautiful sumatra every guide fantastic make trip wonderful especially main guide dewi recommend trip,positive,positive
990,occupy trip island orangutan beaten short track volcanos like jungle felt tropical,negative,negative
487,fast paced itinerary lot pack feel like away two week definitely good level fitness need volcano climb six hotel outstanding extra night ubud recommend leader ida driver burgess amaze always u fantastic group people best time,positive,positive
364,excellent tour despite postpandemic complication realworld meaningful experience,positive,positive
255,first time intrepid traveller amaze immersive reward experience best way see bali lombok best way travel anywhere,positive,positive
260,amaze trip balance eco social awareness fun excite adventure,positive,positive
803,island unawares trip jungle beaten orangutan track felt like tropical take volcanos,negative,negative
678,brave local experience balinese memory opportunity everthing without never understand expect woud holiday grateful culture left,negative,negative
495,life change trip jungle volcano lake toba highlight tour leader lily truly excellent,positive,positive
671,similar island jungle volcanos take orangutan short felt trip beaten tropical track,negative,negative
378,brilliant first trip intrepid guide abraham outstanding itinerary cover fantastic range place java bali highlight temple yogyakarta bromo snorkelling bali,positive,positive
527,grasp phoning shock respond intrepid two wait three service get email appal hour,negative,negative
846,hardy two email hold shock get phoning hour appal respond wait three service,negative,negative
138,throughly enjoy recent intrepid tour last travelled intrepid year ago time amaze u intrepid really show real side country people live within would highly recommend curious adventurous people want get beat track local adventure thanks intrepid,positive,positive
356,trip fantastic sight food friendly people definitely come back,positive,positive
366,discover lombok fabulous tour fascinate island overrun tourists local guide ell great lombok knowledgelocal insight amaze really add trip quiet east coast stun highly recommend trip,positive,positive
943,trigger see may correct necessary lombok spell mistake grammatical review,negative,negative
750,cerebrate way great really would amazingly never well enjoyable friendly experience guide jell group plan,negative,negative
949,lifespan bad woman travel experience woman trip recommend trip awful,negative,negative
830,unbelievable evo trip incredible environmentally leader temple resort group trip miss conscious use abrahan,negative,negative
657,error review correct may see grammatical spell lombok trip necessary,negative,negative
200,first trip bali first intrepid tour tour leader tour group great saw learnt lot bali culture trip well organise always felt safe good hand,positive,positive
214,first time user intrepid impressed range experience access local knowledge company like minded people superb stress free organisation already plan next intrepid adventure,positive,positive
409,exceptional value trip leader andy fantastic could make great trip active make sure prepared physical aspect majority excellent excursion,positive,positive
333,thoroughly enjoy beautiful bali tour go incredible location guide srix lovely fantastic people meet along way amaze love visit place otherwise would know,positive,positive
209,great trip love itinerary amazing time would definitely recommend anyone also great female solo traveler,positive,positive
614,foe pick hotel slept amazing night andy sleep job back sore bad basic would hotel send,negative,negative
79,appreciate intrepids attempt promote maintain culture bali,positive,positive
